Nivel 1,Nivel 2
https://www.fi.unju.edu.ar/institucional/editorial-fiunju.html,"['https://www.fi.unju.edu.ar/editorial/2021/2937-los-videojuegos-como-deporte-profesional.html', 'https://www.fi.unju.edu.ar/editorial/2021/2936-dise%C3%B1o-de-videojuegos,-nueva-propuesta-de-la-facultad-de-ingenier%C3%ADa.html', 'https://www.fi.unju.edu.ar/editorial/2021/2935-innovaci%C3%B3n-aplicada-a-la-econom%C3%ADa-popular.html', 'https://www.fi.unju.edu.ar/editorial/2021/2934-eleccion-de-rector-y-decanos-en-la-unju.html', 'https://www.fi.unju.edu.ar/editorial/2021/2933-laboratorios-remotos-en-la-ense%C3%B1anza-de-ingenieria.html', 'https://www.fi.unju.edu.ar/editorial/2021/2932-vigilancia-tecnologica-e-inteligencia-estrategica.html', 'https://www.fi.unju.edu.ar/editorial/2021/2936-diseño-de-videojuegos,-nueva-propuesta-de-la-facultad-de-ingeniería.html', 'https://www.fi.unju.edu.ar/editorial/2021/2935-innovación-aplicada-a-la-economía-popular.html', 'https://www.fi.unju.edu.ar/editorial/2021/2933-laboratorios-remotos-en-la-enseñanza-de-ingenieria.html', 'https://www.fi.unju.edu.ar/editorial/2021/2931-dia-internacional-de-la-mujer-y-la-niña-en-la-ciencia.html', 'https://www.fi.unju.edu.ar/editorial/2021/2930-comienzo-de-un-nuevo-ciclo-lectivo-en-pandemia.html', 'https://www.fi.unju.edu.ar/editorial/2021/2929-informacion-de-calidad-en-internet-el-modelado-de-temas.html', 'https://www.fi.unju.edu.ar/editorial/2021/2928-las-profesiones-universitarias-demandadas-en-argentina.html', 'https://www.fi.unju.edu.ar/editorial/2021/2927-estudiar-ingeniería-en-2021-opción-de-la-universidad-nacional-de-jujuy.html', 'https://www.fi.unju.edu.ar/editorial/2021/2926-54º-jornada-mundial-de-la-paz-el-mensaje-del-papa-francisco.html', 'https://www.fi.unju.edu.ar/editorial/2019/1774-ingenieria-argentina.html', 'https://www.fi.unju.edu.ar/editorial/2019/1742-el-gobierno-universitario-en-la-gestion-publica.html', 'https://www.fi.unju.edu.ar/editorial/2019/1316-los-espacios-de-la-mujer-en-ingenieria.html', 'https://www.fi.unju.edu.ar/editorial/2019/1741-facultad-de-ingenieria-de-la-unju-24-05-1972-24-05-2019.html', 'https://www.fi.unju.edu.ar/editorial/2019/1740-la-deuda-de-las-universidades-nacionales.html', 'https://www.fi.unju.edu.ar/editorial/2019/1703-graduarse-en-la-fi.html', 'https://www.fi.unju.edu.ar/editorial/2019/1702-editorial-abril-2019.html', 'https://www.fi.unju.edu.ar/editorial/2020/2925-el-balance-de-otro-año-de-intenso-trabajo.html', 'https://www.fi.unju.edu.ar/editorial/2020/2924-semana-nacional-de-la-ciencia-y-la-tecnología-en-jujuy.html', 'https://www.fi.unju.edu.ar/editorial/2020/2923-el-profesor-4-0-la-visión-de-un-referente-mundial-de-la-enseñanza-de-la-ingeniería.html', 'https://www.fi.unju.edu.ar/editorial/2020/2922-elecciones-en-la-unju-contundente-triunfo-de-ingenieria-de-tod-s.html', 'https://www.fi.unju.edu.ar/editorial/2020/2718-semana-de-elecciones-en-la-universidad-nacional-de-jujuy.html', 'https://www.fi.unju.edu.ar/editorial/2020/2717-fin-de-las-cursadas-2020-en-ingenieria-un-logro-de-todos.html', 'https://www.fi.unju.edu.ar/editorial/2020/2716-jornadas-de-innovacion-educativa-en-ingenieria.html', 'https://www.fi.unju.edu.ar/editorial/2020/2715-dialogo-hacia-el-plan-estrategico-nacional-para-el-desarrollo-minero.html', 'https://www.fi.unju.edu.ar/editorial/2020/2714-elecciones-en-la-unju-las-cartas-sobre-la-mesa.html', 'https://www.fi.unju.edu.ar/editorial/2020/2713-academia-nacional-de-ingenieria-premio-a-egresado-jujeno.html', 'https://www.fi.unju.edu.ar/editorial/2020/2712-dia-mundial-de-la-estadistica-el-lugar-de-la-etica.html', 'https://www.fi.unju.edu.ar/editorial/2020/2711-regimen-de-promocion-de-la-economia-del-conocimiento-es-ley.html', 'https://www.fi.unju.edu.ar/editorial/2020/2710-ingreso-a-ingenieria-en-2021-la-opcion.html', 'https://www.fi.unju.edu.ar/editorial/2020/2709-corrupcion-un-intangible-social.html', 'https://www.fi.unju.edu.ar/editorial/2020/2708-democracia-formal-y-sustancial-en-pandemia.html', 'https://www.fi.unju.edu.ar/editorial/2020/2707-en-septiembre-dias-del-maestro-del-profesor-y-del-estudiante.html', 'https://www.fi.unju.edu.ar/editorial/2020/2706-declaracion-de-los-rectores-y-rectoras-de-universidades-nacionales.html', 'https://www.fi.unju.edu.ar/editorial/2020/2705-rally-latinoamericano-de-innovacion-2020.html', 'https://www.fi.unju.edu.ar/editorial/2020/2704-retomar-actividades-educativas-presenciales-el-dilema.html', 'https://www.fi.unju.edu.ar/editorial/2020/2703-como-sera-el-ingreso-a-ingenieria-para-2021.html', 'https://www.fi.unju.edu.ar/editorial/2020/2702-una-oportunidad-para-jujuy-producir-conocimiento.html', 'https://www.fi.unju.edu.ar/editorial/2020/2701-decano-argentino-reconocido-internacionalmente.html', 'https://www.fi.unju.edu.ar/editorial/2020/2700-covid-19-modelos-matematicos-que-ayudan-a-entender-lo-que-sucede.html', 'https://www.fi.unju.edu.ar/editorial/2020/2699-facultad-de-ingenieria-de-la-unju-un-intenso-cuatrimestre.html', 'https://www.fi.unju.edu.ar/editorial/2020/2698-reapertura-responsable-de-las-universidades.html', 'https://www.fi.unju.edu.ar/editorial/2020/2697-204-anios-de-independencia-responsables-de-nuestro-destino.html', 'https://www.fi.unju.edu.ar/editorial/2020/2696-un-nuevo-escenario-en-las-aulas.html', 'https://www.fi.unju.edu.ar/editorial/2020/2695-belgrano-mucho-mas-que-el-creador-de-nuestra-bandera.html', 'https://www.fi.unju.edu.ar/editorial/2020/2694-la-transicion-de-la-educacion-superior-hacia-nuevos-escenarios.html', 'https://www.fi.unju.edu.ar/editorial/2020/2693-el-dia-del-geologo-desde-la-universidad.html', 'https://www.fi.unju.edu.ar/editorial/2020/2692-150-anios-de-ingenieria-en-argentina.html', 'https://www.fi.unju.edu.ar/editorial/2020/2690-48-anios-de-ingenieria-jujena.html', 'https://www.fi.unju.edu.ar/editorial/2020/2689-la-solidaridad-un-valor-por-excelencia.html', 'https://www.fi.unju.edu.ar/editorial/2020/2688-desafio-para-la-unju-transicion-institucional-en-cuarentena.html', 'https://www.fi.unju.edu.ar/editorial/2020/2687-comunidad-hackermate-estudiantes-y-profesionales-del-siglo-xxi.html', 'https://www.fi.unju.edu.ar/editorial/2020/2686-a-un-mes-del-aislamiento-nos-une-la-educacion-a-distancia.html', 'https://www.fi.unju.edu.ar/editorial/2020/2685-10-de-abril-dia-del-investigador-cientifico.html', 'https://www.fi.unju.edu.ar/editorial/2020/2684-5-de-abril-dia-internacional-de-la-conciencia.html', 'https://www.fi.unju.edu.ar/editorial/2020/2683-quien-es-quien-en-la-sociedad-de-la-pandemia.html', 'https://www.fi.unju.edu.ar/editorial/2020/2682-aislamiento-social-y-educacion-los-limites.html', 'https://www.fi.unju.edu.ar/editorial/2020/2681-coronavirus-la-respuesta-argentina.html', 'https://www.fi.unju.edu.ar/editorial/2020/2680-paridad-de-genero-pequenas-acciones-grandes-expectativas.html', 'https://www.fi.unju.edu.ar/editorial/2020/2679-nuevas-carreras-en-ingenieria-aporte-al-desarrollo.html', 'https://www.fi.unju.edu.ar/editorial/2020/2678-dia-mundial-de-la-justicia-social.html', 'https://www.fi.unju.edu.ar/editorial/2020/2677-dia-internacional-de-la-mujer-y-la-nina-en-la-ciencia.html', 'https://www.fi.unju.edu.ar/editorial/2020/2676-naciones-unidas-agenda-2030-para-el-desarrollo-sostenible.html', 'https://www.fi.unju.edu.ar/editorial/2020/2675-24-de-enero-dia-internacional-de-la-educacion.html', 'https://www.fi.unju.edu.ar/editorial/2020/2674-eleccion-directa-de-consejeros-superiores-en-la-unju.html', 'https://www.fi.unju.edu.ar/editorial/2020/2673-organizacion-universitaria-del-relato-a-los-hechos.html', 'https://www.fi.unju.edu.ar/editorial/2020/2672-propuesta-normativa-universitaria.html']"
https://www.fi.unju.edu.ar/institucional/autoevaluacion-institucional.html,[]
https://drive.google.com/file/d/1AW5GrbgRtnG9d9zDKFceFpD-SIVNpQaw/view?usp=sharing,['https://accounts.google.com/ServiceLogin?service=wise&passive=1209600&continue=https://drive.google.com/file/d/1AW5GrbgRtnG9d9zDKFceFpD-SIVNpQaw/view?usp%3Dsharing&followup=https://drive.google.com/file/d/1AW5GrbgRtnG9d9zDKFceFpD-SIVNpQaw/view?usp%3Dsharing&ec=GAZAGQ']
https://www.fi.unju.edu.ar/institucional/reglamentos.html,"['https://www.fi.unju.edu.ar/institucional/reglamentos.html?tmpl=component&print=1', 'https://drive.google.com/file/d/1mjCMt_NwN_nK8234d7RFIpPeJGZ9KDgl/view', 'https://drive.google.com/open?id=1cBoW4oRjSqY21GJDVe4XNApaySkz5NE8', 'https://drive.google.com/open?id=162y99YeuzOLL2U2aVRiMFxRoMOZoFypv', 'https://drive.google.com/file/d/0B9SUohwx9YfPVXZnZDNyZEZfUWM/view?usp=sharing', 'https://drive.google.com/file/d/1NQ56HKC5JFj1Iboh3320gmJ9YtgQmcOX/view?usp=sharing']"
https://www.fi.unju.edu.ar/institucional/solicitud-de-correo-institucional.html,['https://www.fi.unju.edu.ar/institucional/solicitud-de-correo-institucional.html?tmpl=component&print=1']
https://www.fi.unju.edu.ar/secretarias/sec-academica.html,['https://www.fi.unju.edu.ar/secretarias/sec-academica.html?tmpl=component&print=1']
https://fi.unju.edu.ar/horarios-fiunju,[]
https://www.fi.unju.edu.ar/secretarias/sec-academica/ingreso-2022.html,"['https://www.fi.unju.edu.ar/secretarias/sec-academica/ingreso-2022.html?tmpl=component&print=1', 'https://www.fi.unju.edu.ar/images/2021-Noticias/trifolio-ingreso-2022-interior-web.jpg', 'https://www.fi.unju.edu.ar/ingresantes-oferta-academica.html', 'https://www.fi.unju.edu.ar/images/2021-Noticias/trifolio-ingreso-2022-exterior-web.jpg', 'https://drive.google.com/file/d/1700Dpn0Ew6sxJGrotTnUHEIum8JBCidF/view?usp=sharing', 'https://preinscripcion.unju.edu.ar/preinscripcion/alumnoscentral/', 'https://drive.google.com/file/d/1IuR3MHDiSrnLfOBoV1Cq3YJbkodrjuxS/view?usp=sharing', 'https://www.fi.unju.edu.ar/noticias-generales/3462-preinscripciones-programa-desarrollador-full-stack.html', 'https://www.fi.unju.edu.ar/noticias-generales/3485-asueto-academico-y-administrativo-19-de-abril.html']"
https://www.fi.unju.edu.ar/secretarias/sec-academica/calendario-academico-2022.html,"['https://www.fi.unju.edu.ar/secretarias/sec-academica/calendario-academico-2022.html?tmpl=component&print=1', 'https://drive.google.com/file/d/1PJ7yDYrEKXf3D30iznxn-BlxD9W_7-BD/view?usp=sharing']"
https://www.fi.unju.edu.ar/secretarias/sec-academica/oferta-academica.html,"['https://www.fi.unju.edu.ar/perfil-y-alcance-ing-de-minas.html', 'https://www.fi.unju.edu.ar/perfil-y-alcance-ing-industrial.html', 'https://www.fi.unju.edu.ar/perfil-y-alcance-ing-informatica.html', 'https://www.fi.unju.edu.ar/perfil-y-alcance-lic-en-sistemas.html', 'https://www.fi.unju.edu.ar/perfil-y-alcance-lic-en-cs-geologicas.html', 'https://www.fi.unju.edu.ar/perfil-y-alcance-lic-en-tecn-de-los-alimentos.html', 'https://www.fi.unju.edu.ar/perfil-y-alcance-analista-programador-universitario.html', 'https://www.fi.unju.edu.ar/perfil-y-alcance-tec-univ-en-cs-de-la-tierra.html', 'https://www.fi.unju.edu.ar/perfil-y-alcance-tec-univ-en-procesamiento-de-minerales.html', 'https://www.fi.unju.edu.ar/perfil-y-alcance-tec-univ-en-explotacion-de-minas.html', 'https://www.fi.unju.edu.ar/perfil-y-alcance-tec-univ-en-perforaciones.html', 'https://www.fi.unju.edu.ar/perfil-y-alcance-tec-univ-en-cs-de-la-tierra-orientada-a-petroleo.html', 'https://www.fi.unju.edu.ar/carreras/cunt.html', 'https://www.fi.unju.edu.ar/carreras/cca.html', 'https://bit.ly/cartilla_fi', 'https://www.fi.unju.edu.ar/images/2021-Noticias/SIFI.jpg']"
